2026-01-20 16:10,RE5,16:12,3,RE5,16:43,5,RE5,17:11,4
2026-01-20 16:10,RE5,16:12,3,RE5,16:43,5,RE5,17:11,4
2026-01-20 15:15,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:20,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:25,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:30,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:35,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:40,RE5,15:43,6,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:45,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:50,RE5,16:12,3,RE5,16:43,5
2026-01-20 15:55,RE5,16:12,3,RE5,16:43,5
2026-01-20 16:00,RE5,16:12,3,RE5,16:43,5,RE5,17:11,4
2026-01-20 16:05,RE5,16:12,3,RE5,16:43,5,RE5,17:11,4
2026-01-20 17:10,RE5,17:11,4,RE5,17:43,6,RE5,18:11,4
2026-01-20 17:15,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:20,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:25,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:30,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:35,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:40,RE5,17:43,6,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:45,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:50,RE5,18:11,4,RE5,18:43,5
2026-01-20 17:55,RE5,18:11,4,RE5,18:43,5
2026-01-20 18:00,RE5,18:11,4,RE5,18:43,5,RE5,19:11,4
2026-01-20 18:05,RE5,18:11,4,RE5,18:43,5,RE5,19:11,4
2026-01-20 18:10,RE5,18:11,4,RE5,18:43,5,RE5,19:11,4
2026-01-20 18:15,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:20,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:25,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:30,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:35,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:40,RE5,18:43,5,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:45,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:50,RE5,19:11,4,RE5,19:43,6
2026-01-20 18:55,RE5,19:11,4,RE5,19:43,6
2026-01-20 19:00,RE5,19:11,4,RE5,19:43,6,RE5,20:11,4
2026-01-20 19:05,RE5,19:11,4,RE5,19:43,6,RE5,20:11,4
2026-01-20 19:10,RE5,19:11,4,RE5,19:43,6,RE5,20:11,4
2026-01-20 19:15,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:20,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:25,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:30,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:35,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:40,RE5,19:43,6,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:45,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:50,RE5,20:11,4,RE5,20:43,5
2026-01-20 19:55,RE5,20:11,4,RE5,20:43,5
2026-01-20 20:00,RE5,20:11,4,RE5,20:43,5,RE5,21:11,4
2026-01-20 20:05,RE5,20:11,4,RE5,20:43,5,RE5,21:11,4
2026-01-20 20:10,RE5,20:11,4,RE5,20:43,5,RE5,21:11,4
2026-01-20 20:15,RE5,20:43,5,RE5,21:11,4,RE5,21:43,6
